Address,Start votes,Start balance,End votes,End balance,Excluded ,CRE8R Payout,,
0x8a2018e7ee9bcda9b4aa789447a6924f4fb676d7,0,14513.55799,14504.22689,14490.5231,,95.47864239,,
0x0c6f45b7a87daa8c900f823278071745c3f28744,0,14112.12312,14100.67561,14091.37794,,92.82213894,,
0x4b618ab0bc82a5100940e5091f7f696a04bbc750,0,13846.81604,13824.53451,13815.05685,,91.00435319,,
0xed5ca5a80b99a4f7633fb8feffe558f421292d64,0,13805.98533,13792.27379,13784.07346,,90.79198683,,
0x0507b3ffe3836ad0f256f3d53b8fa7653e54e2eb,0,12390.8513,12619.21918,12615.32833,,83.06998533,,
0x4b7292679d439ccd83b972a5ff848b47391affca,0,12561.25179,12555.86076,12542.32084,,82.65290857,,
0x088444cf5ad3dce4e983f85a111876ca2e3d3097,0,12409.64832,12405.77539,12389.41535,,81.6649244,,
0x966d3867ed55092a1cf8df921f938061b6d64bd2,0,12171.21235,12166.82092,12151.14922,,80.09193129,,
0x95df33bbec54d7d9b2971ea298b2e82e65c6926c,0,11785.29552,11779.48534,11767.8852,,77.54217283,,
0x150b43888b42d00e72f6fc1278286ca6293c0325,0,11430.10165,11429.88903,11413.54345,,75.24084498,,
0x05e5ab383f3c2d423cfd118b83420261ab0990bc,0,10922.35195,10921.99163,10906.5293,,71.8974504,,
0xd11bcc0e7d44169a572da39ca6297d0dfa5c17fa,0,10878.49917,10874.46257,10861.50436,,71.58457535,,
0xc2f7e3852ca0bc34e3500e199fd6e2b7d4f4c1bf,0,7369.643561,10687.15792,10675.43438,,70.35158349,,
0x5a3f9e02e7c35e08a2ee67b31aa678c0b1f5f6eb,0,10545.94806,10536.74952,10528.75371,,69.36147286,,
0xff67a7b7c3039acb7b5133dd89b65491fef96331,0,10280.39784,10273.24377,10265.05904,,67.62686323,,
0x53bb44f87f57d57bb2c591d20257b4744053398d,0,10236.80795,10233.97315,10371.49522,,67.36835199,,
0xc06830694a5c22278ce214cba0df198486a68d91,0,391.7547659,10076.01913,20147.95418,,66.32856988,,
0x02ccc7e7fbd37c5b4406efdeaf026474b199860b,0,9699.248954,9694.036815,9684.920329,,63.814051,,
0x571ebd4c979f1725593bfb129a24d595d6adfc23,0,9507.468132,9502.582763,9493.139507,,62.55374439,,
0xc15a9f30e09e723f5ab304f2b6476e5edb2627a7,0,18954.43296,9475.888492,18927.10711,,62.37802094,,
0xafb7896e3083fa1d93f344a7dbec40b61e4ca49b,0,9148.322496,9144.607836,9133.80293,,60.19726167,,
0xe9db81a85fdc1f28239bdca8d3054ad39f44a8d5,0,8975.992223,8966.762688,8960.947168,,59.02653996,,
0x9ced3bdc0e6ff65c3f072b0b5527184843ed4eaf,0,8866.247631,8861.043564,8851.632434,,58.33061053,,
0x954c8952cfb768617141a2cbeb2b23faaf7b89cf,0,8802.450798,8798.772193,8788.330194,,57.92068961,,
0xdb42c0eb30d82ac837fd48a8e156fc2ddaed629d,0,8788.286507,8786.874233,8773.957889,,57.84236754,,
0x1fce0f4fb4152b7beefadbc96f971337a16b3884,0,8788.290049,8785.598681,8773.961425,,57.83397082,,
0x76d2ddce6b781e66c4b184c82fbf4f94346cfb0d,8780.405874,8776.326013,8780.405874,8761.938402,,57.79978753,,
0xa281c46bef794568c60494bc3c4e9f2d677381b3,0,8692.611461,8683.13135,8678.282488,,57.15944733,,
0xd941fc738ef03a61399dff8da88f4e9627d14e61,0,8290.287494,8403.789578,8399.364094,,55.32059213,,
0x6bb19408e2a2e82c8c218a5e6eb855a509132625,0,8208.410327,8203.363744,8179.651156,,54.00122594,,
0x0b339a2416872ed8b3051b8297a5d55d5eab6f9a,0,8160.851653,8158.176536,8148.971863,,53.70376691,,
0x82d1883ca96e57773429e785f195e32783b1c246,0,8020.586282,8019.281741,8009.023323,,52.78944817,,
0x0076fcc7d245f6c7aaf07238adfb48adc62bdd55,0,7967.106091,7961.171023,7955.508338,,52.40691606,,
0xcd210063c33e4dc09e52632c1682b7f95652eb8a,0,7861.952033,7855.954445,7850.279936,,51.71429479,,
0x0ce780ba80f17ebd872e388399d882acd6eb17a2,0,14953.80078,7476.682206,15018.99811,,49.21761581,,
0xf3861a66efb41c3a542f86bcd4cf7c1f44b4f01c,0,7418.27431,7411.743914,7407.527839,,48.79013905,,
0xfc2ea617f5214fdb17caa576837cd044b93959b9,0,7178.368522,7173.892042,7167.270225,,47.22440418,,
0x7fe5de3ec7a08e5e8ed1f192735a4f44cdd0267b,0,6865.109014,6864.973629,6854.09623,,45.19085141,,
0xf40f6059b1ca90c0491d73e35bf7bac9ada29dca,0,6592.723402,6585.587088,6581.915515,,43.3517015,,
0xa42d894c50a245da71b3f7a4e7b8f228ba1e2a85,0,6539.247947,6532.010051,6529.587567,,42.99901377,,
0xa58d091b9a59096d4504cecba04f071982f55a9f,0,6371.719463,6338.611349,6328.73359,,41.72590589,,
0xd66bb2d2935487fcef48bf4e26b3101fbeb7d744,0,6278.819175,6277.185898,6269.497446,,41.32155352,,
0x6887b5852847dd89d4c86dfaefab5b0b236dcd8a,0,6146.859514,6144.755005,6137.642116,,40.44978545,,
0xdfcb6b1f3d6b671099ba0f483d2c6632ce3314c2,0,6118.355456,6111.155717,6108.325232,,40.22860754,,
0x0b4781cf322a38b33badbe3d0142e04c62cade87,0,5898.611433,6019.987182,6013.940436,,39.62846195,,
0x2f143cee05f5bb2a15c2db55e31f6a9f9f81a5ea,5760.80698,5742.885887,5760.80698,5734.566464,,37.92232662,,
0x9df9df62a2e25f2a19455166b96c1b23d3994c82,5634.041438,18749.3474,5634.041438,18719.58977,,37.08785251,,
0x095a5cdfdb80c3dbc75a6f1c3d0ae8f048849d78,0,1237.063765,5561.665328,6135.634589,,36.61141397,,
0xb2f4357319c39ffea5033f658a9ed6f8904e2647,0,5431.977212,5425.003443,5424.069857,,35.71179407,,
0x4a5c70fbf23f7f85c6425a83ea660f63f46e5727,0,5419.318768,5417.16761,5410.717611,,35.66021222,,
0xeb09af764739e0c25137f16a7e467a65d196b20b,0,5148.315507,5144.323727,5754.720355,,33.86413141,,
0x0ac3ecc0afa7930d915e84387b747789de7ba1d6,0,5005.531733,5002.461777,4998.100366,,32.93028044,,
0xea0f1d7dc29a14f85af438dc6e8ce4b294a626ce,0,4849.624477,4848.62978,4842.460165,,31.91763287,,
0x26f929503411efbe1edbeda2d994f98cb2a66dbb,0,13407.96322,4840.048104,13819.53984,,31.86114128,,
0xa7e78c4b0f71ca122c9afa79e7348bd80df10402,0,4808.837995,4806.264587,4794.50937,,31.63875063,,
0xa09e28d947d376ed97ab5daa54a434fb5a26cf1f,0,4671.061015,4668.213942,4663.445212,,30.72998878,,
0xb9328ae4ffadfad326eb39aa25429760ea28d043,0,4656.239315,4655.742258,4649.36069,,30.64788999,,
0x4e2cc19317d23680aafe52189491d12f890c3c02,0,4572.20221,4572.057558,4564.665353,,30.09700909,,
0x82b16fbdb9e1aa666b007a9df40d2dcefbaea791,0,4480.625148,4480.470689,4473.475851,,29.49410968,,
0xeb0aa0d277312dda0260fe32a31ee3565af4bd20,0,4442.262789,4439.639819,4435.796166,,29.22532761,,
0x4f80cc7c3c0af6b1fb1cc23106845ba35e771460,0,4177.397437,4177.278064,4171.195543,,27.49824871,,
0x6fe413b3c9093dd7c9585e81a7420acc14343cc1,4218.649639,4182.187548,4174.495902,4166.426061,,27.47993426,,
0x76aca3e03691c2ec01c2a61809d1fe4763e5293c,0,5500.787393,4123.727868,5492.455185,,27.14573768,,
0x802674bc000ad569b482534f21947a638a242d1a,0,1654.005367,4013.79401,4009.851684,,26.42206344,,
0x97261e4894cb43ee0cf8c5c5c83505bd6cf8a60b,0,3829.947954,3828.311841,3824.233507,,25.20106863,,
0x8b478359b5593747473e67f78b1f0048c1c523ed,0,9527.065264,3810.657735,9511.532124,,25.08485491,,
0x485babca12b656a1f3ad20d41232838e77f4d065,0,3761.90203,3759.805524,3756.478646,,24.75010421,,
0x7529e1d40de73aaee12d21f5a91c52234a28a468,0,3569.65,3569.335403,3548.440576,,23.49627464,,
0xc434c1d20b92e2e5dfa408547ad43159eb669c87,0,3502.110068,3494.62838,3490.646366,,23.00449213,,
0xcb53756c96f2eb238f5db05eaad278a54150cd08,2965.401951,2979.523232,3013.399646,3010.912557,,19.8366524,,
0x947c14af1adebc3539c2783ae7fc4a9028d5c813,0,5912.810327,2955.444947,5903.274002,,19.45514734,,
0x98076110c0d195b468d5776ad89004c5864ffc6d,0,2932.546495,2931.287013,2928.339056,,19.29612013,,
0x375a0530e0f0786edcaa71758717ddef432b55d5,0,2881.007563,2880.39638,2876.708975,,18.96111651,,
0x2a0df2e096d378d3d4149539f4eff1a0a748af92,0,2861.838857,2861.613611,2857.652473,,18.83747302,,
0xbf401b81e2d01bfb80d32a7b71fc0715d6d76d45,0,2839.934053,2839.400629,2835.839833,,18.69124906,,
0x7dfc164f390a051f2483532d1756d80b76ea4aa8,0,2783.739774,2782.956532,2779.523159,,18.31968801,,
0xf400ad846278720602bfa6e4ebda2a8886c8e88e,0,2754.828043,2754.593775,2743.280949,,18.13298123,,
0x887e8b6119b38c60cb03cab204c0a704c6e0a473,0,2683.803433,2683.747176,2679.818975,,17.66661118,,
0xbb5432c9d47caf40e7df32cb259d977e12b79586,0,5351.646436,2674.097578,5342.873129,,17.60308966,,
0x70b31325ec1eed59e2fefc4076f08c06c913940a,0,2637.010535,2635.780535,2633.171826,,17.35085565,,
0x081ff30ecbb8861d4b1f5cbee862113b0e3bf17d,0,5069.613911,2534.570797,5061.302958,,16.68461067,,
0x6e9c4e2853ce49bf9552f80e29a44f680ab7a419,0,2511.766952,2510.744623,2508.000483,,16.52776737,,
0xde583e18cfd40668fe102d366e87aa377ad5c3aa,0,995.5454022,2494.267497,2493.152816,,16.4193015,,
0x3bbb81d4f3e67dd5df672028e725959a552c279b,0,2486.202045,2482.53227,2482.455111,,16.34205067,,
0xf4a7d6a2ccb7f8e736dc53c6b47254ba4b4fe7e8,0,2454.429872,2453.829333,2450.891418,,16.15310455,,
0x34e5abdc58f1c72eac58f5624fac9c74a6e5cd3b,0,2437.789388,2437.722415,2433.792959,,16.04707569,,
0x40f7364d767f49ef9f42de79e802165369963607,0,2283.503229,2280.301383,2278.305653,,15.01080216,,
0xdc44976eeaf111a958bdf412f78d3683a9e43f28,2197.884435,2194.245382,2197.884435,2190.971474,,14.46826664,,
0x421a8c6b67b3296686e97234f70ce15f06e1bf7b,0,2197.155267,2193.008419,2190.978056,,14.43616872,,
0xa8b7a33f25490b8eebb10312e82403e8e9013663,0,1133.356142,2184.446588,2180.356144,,14.37980778,,
0x16025aa77566e275bab40378cefbf5aa07f50d78,0,2107.122442,2106.999459,2104.009607,,13.86998765,,
0x5fc9ff46636e48dff2e71ade1a0f420673895f92,0,2108.842526,2105.652145,2105.404222,,13.86111854,,
0xec300ec881e23a09dd5565005b8f2e3e6e5b877e,0,2074.122665,2073.533152,2071.012457,,13.64968515,,
0xe7fb6f8ae10eccb8aeed240496b458c9bc61735a,0,2059.483178,2056.92012,2056.379349,,13.54032463,,
0xd10e4b1909ca051883f3a4add9988eb2ff66bcab,0,2033.994082,2032.71293,2030.913129,,13.38097317,,
0x59ce5456a4e4c1c142889f0fde5605f7b553b95a,0,2017.574568,2017.338072,2014.549156,,13.27976333,,
0xa4a62f7127c644aaef733029e0d052e411fdafb4,0,2017.86758,2016.988105,2014.871792,,13.27745956,,
